Nested Sampling Global Log-Evidence           :   -0.153200727437272599E+01  +/-    0.457906394927544563E-01

Dim No.       Mean        Sigma
   1    0.716560593649182231E+00    0.171247918508091290E+01
   2    0.121001147317335040E+04    0.124938985992955374E+02
   3    0.896613134754969108E-03    0.964417450032917310E-04
   4    0.725698063614502900E+02    0.977168081493703711E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.595459512419345069E-02
   2    0.121306682182486611E+04
   3    0.963417504702641057E-03
   4    0.711011648005860906E+02

MAP Parameters
Dim No.        Parameter
   1    0.928613406837689048E+01
   2    0.119859484732561805E+04
   3    0.836378751631196987E-03
   4    0.713815870366172476E+02
