Nested Sampling Global Log-Evidence           :   -0.392067473864741434E+01  +/-    0.924239173614450765E-01

Dim No.       Mean        Sigma
   1    0.366239043784925096E-03    0.787421175908981590E-04
   2    0.121013212675287309E+04    0.107205705468035184E+02
   3    0.889976395714082600E-03    0.926330563900726707E-04
   4    0.989041100404189990E+02    0.932547348126793518E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.268491478457471221E-03
   2    0.119813034809104784E+04
   3    0.749581032479194171E-03
   4    0.100679485121439896E+03

MAP Parameters
Dim No.        Parameter
   1    0.345718327742037135E-03
   2    0.121340615275702430E+04
   3    0.971494161943273183E-03
   4    0.991083054859375778E+02
