Nested Sampling Global Log-Evidence           :   -0.384065138297051467E+01  +/-    0.913701421537890662E-01

Dim No.       Mean        Sigma
   1    0.862431686421995724E-03    0.175793682337351052E-03
   2    0.120958555432781918E+04    0.120852325395542710E+02
   3    0.918635409329388529E-03    0.921744282746678884E-04
   4    0.608520006245757159E+02    0.942448091038963431E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.806900814115635192E-03
   2    0.120800605256955328E+04
   3    0.935999780351648610E-03
   4    0.620114043199578191E+02

MAP Parameters
Dim No.        Parameter
   1    0.104805230880995097E-02
   2    0.120780245080146301E+04
   3    0.997474197295185327E-03
   4    0.609143004446419383E+02
