Nested Sampling Global Log-Evidence           :   -0.410263839350165860E+01  +/-    0.951472683082238008E-01

Dim No.       Mean        Sigma
   1    0.737420384701850912E-03    0.121641402105974273E-03
   2    0.121159920167389623E+04    0.121906341268046390E+02
   3    0.910378858431218569E-03    0.873991375555379724E-04
   4    0.114821137341001361E+03    0.956311195266047576E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.725748986452086375E-03
   2    0.119458004515197899E+04
   3    0.104270916261701312E-02
   4    0.115421370327528876E+03

MAP Parameters
Dim No.        Parameter
   1    0.812229325289961666E-03
   2    0.122780826116323396E+04
   3    0.101280725389022125E-02
   4    0.114158634358640356E+03
