Nested Sampling Global Log-Evidence           :   -0.384369461210078844E+01  +/-    0.912908262487908406E-01

Dim No.       Mean        Sigma
   1    0.429444414215058700E-03    0.955048129603939757E-04
   2    0.120774237038102797E+04    0.125049166467224548E+02
   3    0.893931139229791477E-03    0.936088322557666110E-04
   4    0.914737111097472138E+02    0.930694897265584520E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.507724351177095629E-03
   2    0.123547291046882333E+04
   3    0.891148864585168134E-03
   4    0.905840025513585942E+02

MAP Parameters
Dim No.        Parameter
   1    0.493452531695213375E-03
   2    0.122660484229443341E+04
   3    0.790866333265390314E-03
   4    0.915136641708336072E+02
