Nested Sampling Global Log-Evidence           :   -0.247016531452115462E+01  +/-    0.596963075020413014E-01

Dim No.       Mean        Sigma
   1    0.225614192734582469E+00    0.977672395328657018E+00
   2    0.120904105016610242E+04    0.122951649701452119E+02
   3    0.894869540052992737E-03    0.990315465352526229E-04
   4    0.114975067356243713E+03    0.982291804070184127E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.900437281898610058E-03
   2    0.120244327430316730E+04
   3    0.719870317429294280E-03
   4    0.115798525582137913E+03

MAP Parameters
Dim No.        Parameter
   1    0.849020232178734706E-03
   2    0.122602276068472975E+04
   3    0.858223545990684494E-03
   4    0.115548224589209994E+03
