Nested Sampling Global Log-Evidence           :   -0.411071493442053804E+01  +/-    0.952245165097189844E-01

Dim No.       Mean        Sigma
   1    0.807378333592682646E-03    0.246339683248231959E-03
   2    0.120906815593087867E+04    0.121342066212597466E+02
   3    0.905956035135649894E-03    0.919818614293951950E-04
   4    0.719812999064822492E+02    0.864205435553271428E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.636902799176289553E-03
   2    0.121685255256144910E+04
   3    0.834787475749823138E-03
   4    0.777168671963816990E+02

MAP Parameters
Dim No.        Parameter
   1    0.707891841121891419E-03
   2    0.122341577345303972E+04
   3    0.884264561211577159E-03
   4    0.725902782680423542E+02
